project.link,project.year,project.license,project.description,project.apptype,project.architecture,project.notes,org.name,org.link,org.notes,sourcecode.class,sourcecode.link,sourcecode.notes,trainingdata.class,trainingdata.link,trainingdata.notes,modelweights.class,modelweights.link,modelweights.notes,codedoc.class,codedoc.link,codedoc.notes,trainprocedure.class,trainprocedure.link,trainprocedure.notes,evalprocedure.class,evalprocedure.link,evalprocedure.notes,paper.class,paper.link,paper.notes,paper.date,license.class,license.link,license.notes,modelcard.class,modelcard.link,modelcard.notes,datasheet.class,datasheet.link,datasheet.notes,package.class,package.link,package.notes,ux.class,ux.link,ux.notes,suppage.class,suppage.link,suppage.notes,source.file,openness,star_count
https://amaai-lab.github.io/mustango/,2024,MIT License,A music-domain-knowledge-inspired text-to-music latent diffusion model capable of fine-grained control over harmonic and rhythmic elements via an integrated MuNet architecture.,Text-to-music,Latent diffusion,,"AMAAI Lab, Singapore University of Technology and Design and Queen Mary University of London",https://amaai-lab.github.io/,,open,https://github.com/AMAAI-Lab/mustango,"The codebase is complete and accessible on GitHub. The repository features model architecture, training pipeline, inference, and data processing.",open,https://huggingface.co/datasets/amaai-lab/MusicBench,"Mustango is trained on the MusicBench dataset, which is a collection of ~52k 10-seconds music samples. These samples were generated through targeted harmonic, rhythmic, and dynamic data augmentations of the original MusicCaps dataset and enriched with automated music theory text descriptions.",open,https://huggingface.co/declare-lab/mustango/tree/main/ldm,Model weights are available on HuggingFace. There is also a pretrained model available (https://huggingface.co/declare-lab/mustango-pretrained).,open,https://github.com/AMAAI-Lab/mustango/blob/main/README.md,"The codebase is properly documented, including instructions for installation, basic usage and model training.",open,https://aclanthology.org/2024.naacl-long.459.pdf,"Training procedure is well documented in the paper, including hardware requirements and model configurations (see Appendix B for further details). Additional implementation details are available in the GitHub repository.",open,https://aclanthology.org/2024.naacl-long.459.pdf,"Evaluation methodology is well documented in the paper, including evaluation metrics and model performance. Evaluation dataset is composed of TestA, TestB and FMACaps. TestA and TestB are the testing splits of MusicBench, which is based on MusicCaps (see Section 2.3). Further information about how FMACaps dataset was created is available in Appendix F.",open,https://aclanthology.org/2024.naacl-long.459.pdf,Accepted paper at NAACL 2024.,"June, 2024",open,https://github.com/AMAAI-Lab/mustango?tab=MIT-1-ov-file,MIT License.,star,https://huggingface.co/declare-lab/mustango,A model card is available in HuggingFace.,star,https://huggingface.co/datasets/amaai-lab/MusicBench/,"There is a data card available for the MusicBench dataset on HuggingFace, which provides information about the dataset's composition, usage, and licensing.",∅,,,star,https://replicate.com/declare-lab/mustango,"A demo is available on Replicate. There should also be a demo on HuggingFace Spaces, but it is currently not working (https://huggingface.co/spaces/declare-lab/mustango).",star,https://amaai-lab.github.io/mustango/,Complementary site with general model overview and sound examples is available.,/projects\mustango.yaml,100,4
https://github.com/Stability-AI/stable-audio-tools,2024,Stability AI Community License,"Synthesizes variable-length stereo audio, sound effects, and musical stems from text prompts.",Text-to-music,Diffusion,,Stability AI,https://stability.ai/,,open,https://github.com/Stability-AI/stable-audio-tools,"Code for data processing, training pipeline, and inference is available in the stable-audio-tools repository. Architecture of the model is specified in the form of a config file.",open,https://info.stability.ai/attributions,Training data can be mapped from Attribution files. Dataset attribution files can also be accessed in HuggingFace after accepting Stability AI conditions (https://huggingface.co/stabilityai/stable-audio-open-1.0/blob/main/fma_dataset_attribution2.csv and https://huggingface.co/stabilityai/stable-audio-open-1.0/blob/main/freesound_dataset_attribution2.csv).,open,https://huggingface.co/stabilityai/stable-audio-open-1.0/tree/main,"Weights are available in the HuggingFace repository. However, accessibility is subject to accepting Stability AI conditions.",open,https://github.com/Stability-AI/stable-audio-tools/blob/main/README.md,"Documentation of the code is limited for training replicating the model. Although there are not specific config files for Stable Audio Open, those from Stable Audio could be used.",open,https://arxiv.org/pdf/2407.14358,Described in pre-print.,open,https://arxiv.org/pdf/2407.14358,"They use stable-audio-metrics for evaluation, which has examples of evaluation pipelines.",open,https://ieeexplore.ieee.org/document/10888461,Accepted at ICASSP 2026.,,partial,https://huggingface.co/stabilityai/stable-audio-open-1.0/blob/main/LICENSE.md,Stability AI Community License. Not an Open Source Initiate (OSI) or RAIL approved licences.,star,https://huggingface.co/stabilityai/stable-audio-open-1.0,Model card in HuggingFace.,∅,,,star,https://pypi.org/project/stable-audio-tools/,The model can be used with 1) the https://github.com/Stability-AI/stable-audio-tools library and 2) the https://huggingface.co/docs/diffusers/main/en/index library.,star,https://github.com/Stability-AI/stable-audio-tools/blob/main/stable_audio_tools/interface/gradio.py,Gradio interface in source code.,star,https://stability.ai/news/introducing-stable-audio-open,A complementary site with sound examples and demonstration of the model's capabilities is available.,/projects\stable-audio-open.yaml,95,4
https://awesome-mmgen.github.io/,2024,MIT License,A lightweight melody-guided text-to-music model. Melody information is incorporated implicitly within the CLMP and explicitly in the retrieval augmented diffusion module.,"Text-to-music, Melody-to-music",Diffusion,,"Guangxi University, China and Southwestern University of Finance and Economics, China",https://www.gxu.edu.cn/en/,,open,https://github.com/shaopengw/Awesome-Music-Generation,"Source code is available on GitHub, including data processing, model architecture, training and fine-tuning, and inference scripts.",open,https://huggingface.co/datasets/ManzhenWei/MG2-Dataset,"This model was trained on about 132 hours from two open datasets: MusicCaps and MusicBench, which are detailed in Hugging Face.",open,https://huggingface.co/ManzhenWei/MG2/tree/main,Checkpoints are available on Hugging Face.,open,https://github.com/shaopengw/Awesome-Music-Generation/blob/main/README.md,"Source code is well-documented, including environment setup,data processing, training and fine-tuning procedure, as well as quick start instructions.",open,https://arxiv.org/pdf/2409.20196,Training procedure is fully described in the research paper (see Section 5.3). Code documentation provides additional instructions on how the model might be retrained or fine-tuned.,open,https://arxiv.org/pdf/2409.20196,"Evaluation procedure is fully described in the research paper (see Section 5.4). Evaluation data is 1/10 of MusicCaps and MusicBench. Testing splits are properly identified in the dataset card. In addition, a human evaluation was conducted to assess recognizability, text relevance, satisfaction, quality and market potential of generated samples (see Section 6). These samples are shared in their complementary website.",partial,https://arxiv.org/abs/2409.20196,"Research paper is available on arXiv, but it has not yet been peer-reviewed.",September 2024,open,https://github.com/shaopengw/Awesome-Music-Generation?tab=MIT-1-ov-file,The project is licensed under the MIT License.,star,https://huggingface.co/ManzhenWei/MG2,A model card is available on Hugging Face.,star,https://huggingface.co/datasets/ManzhenWei/MG2-Dataset,A dataset card is provided on Hugging Face.,∅,,,∅,https://mg2.vip.cpolar.cn/,"An online-based user-oriented application should be available in the indicated link. However, it is not currently accessible.",star,https://awesome-mmgen.github.io/,"An official project website showcases sonified audio samples generated by MG² alongside comparative baselines (AudioLDM2, Mustango).",/projects\mg2.yaml,95,3
https://github.com/facebookresearch/audiocraft,2023,MIT License,"A simple and controllable music generation model, which is able to generate high-quality music given textual description.","Text-to-music, Melody-to-music",Autoregressive transformer,,Meta AI,https://www.meta.com/,,open,https://github.com/facebookresearch/audiocraft,Code is available.,partial,,"They describe the datasets used to train their model (licensed data). However, they rely on 10k music tracks that are not described (proprietary data). They do not provide any of the datasets used for training MusicGen. Only a dummy dataset containing just a few examples for illustrative purposes is provided.",open,https://huggingface.co/facebook/musicgen-large/tree/main,Models are available in the GitHub repository and in Hugging Face. Note that the weights are released under the CC-BY-NC 4.0 license as found in the https://github.com/facebookresearch/audiocraft/blob/main/LICENSE_weights.,open,https://github.com/facebookresearch/audiocraft/blob/main/docs/MUSICGEN.md,"Codebase is documented in the GitHub repository, including installation requirements.",open,https://arxiv.org/pdf/2306.05284,"Training procedure is well documented in the paper, including hardware requirements and model configurations. Additional implementation details are available in the GitHub repository.",open,https://arxiv.org/pdf/2306.05284,Evaluation is documented in the paper and the code provides detailed explanation about the implementation of evaluation metrics. Evaluating the model to reproduce the results still may require some effort. Dataset used for evaluation is MusicCaps benchmark.,open,https://proceedings.neurips.cc/paper_files/paper/2023/hash/94b472a1842cd7c56dcb125fb2765fbd-Abstract-Conference.html,Accepted at NeurIPS 2023.,,open,https://github.com/facebookresearch/audiocraft/blob/main/LICENSE,The code in this repository is released under the MIT license as found in the https://github.com/facebookresearch/audiocraft/blob/main/LICENSE. The models weights in this repository are released under the CC-BY-NC 4.0 license as found in the https://github.com/facebookresearch/audiocraft/blob/main/LICENSE_weights.,star,https://github.com/facebookresearch/audiocraft/blob/main/model_cards/MUSICGEN_MODEL_CARD.md,"Model card discusses intended use, limitations and biases.",∅,,Data is copyrighted and not available.,star,https://pypi.org/project/audiocraft/,"Has two packages: audiocraft package from Meta, and transformers package from Hugging Face.",star,https://huggingface.co/spaces/facebook/MusicGen,"Demo in Hugging Face spaces, user-oriented gradio demo, and jupyter notebooks.",star,https://ai.honu.io/papers/musicgen/,Supplementary material web page with sound examples.,/projects\musicgen.yaml,91,4
https://magenta.withgoogle.com/ddsp,2020,Apache License 2.0,A library that enables direct integration of classic signal processing elements with DL models.,"MIDI-to-audio, Audio synthesis, Style transfer",Differentiable DSP,A VST version of this model is also available.,Google Magenta,https://magenta.withgoogle.com/,,open,https://github.com/magenta/ddsp,"The complete source code is publicly available on GitHub, including core differentiable modules, training pipeline and inference code.",open,https://openreview.net/pdf?id=B1x1ma4tDr,"The research paper indicates that the autoencoder is trained on public, fully open-source datasets including NSynth and individual instrument stems from the URMP dataset (see Section 4.2). The repository includes open scripts (`ddsp_prepare_tfrecord`) to easily format custom training data.",partial,https://storage.googleapis.com/storage/v1/b/ddsp/o?prefix=models/timbre_transfer_colab/2021-07-08/&delimiter=/,"Pre-trained model weights are available in demos and tutorial Colab notebooks, and can be downloaded from there. However, no independent downloadable weights are provided.",open,https://github.com/magenta/ddsp?tab=readme-ov-file#,"The codebase is well documented, with a detailed README file and additional documentation for the core differentiable modules. The repository also includes example notebooks for training and inference, providing clear guidance on how to use the code.",open,https://github.com/magenta/ddsp?tab=readme-ov-file#training,"The training procedure is described in the research paper. It is also well-documented in the GitHub repository, with clear instructions and scripts provided for training the model.",open,https://openreview.net/pdf?id=B1x1ma4tDr,"The evaluation procedure is described in the research paper (see Appendix C, for further details).",open,https://openreview.net/pdf?id=B1x1ma4tDr,Accepted at ICLR 2020.,"14 January, 2020",open,https://github.com/magenta/ddsp?tab=Apache-2.0-1-ov-file,The project is licensed under the Apache License 2.0.,∅,,,∅,,,star,https://github.com/magenta/ddsp/releases,"It is distributed as an indexed, versioned Python software package that can be installed via pip (`pip install ddsp`).",star,https://magenta.withgoogle.com/ddsp-vst,"DSSP is a highly accessible model to end-users and creators through user-friendly interactive Google Colab notebooks, web-based demos, and an official real-time VST3/AU audio plugin (ddsp-vst) for digital audio workstations (DAWs).",star,https://magenta.tensorflow.org/ddsp,"There is a dedicated blog and supplementary page featuring interactive listening examples, sonified timbre transfers, and explanations of the core architecture.",/projects\ddsp.yaml,91,3
https://github.com/LiuZH-19/SongGen,2025,Apache 2.0 License,A single-stage auto-regressive transformer designed for controllable song generation.,"Text-to-song, Lyric-to-song",Autoregressive transformer,,"Beihang University, Shanghai AI Laboratory, The Chinese University of Hong Kong, Harbin Institute of Technology, CPII (InnoHK)",https://ev.buaa.edu.cn/,,open,https://github.com/LiuZH-19/SongGen,"The source code is available on GitHub, but there are some parts missing regarding data processing (indicated as to-do in GitHub).",partial,,"This model is trained on 8,000 hours of openly licensed music data, including MSD, FMA and MTG-Jamendo. However, the curated version of the dataset is not available (indicated as to-do in GitHub).",open,https://huggingface.co/LiuZH-19/SongGen_mixed_pro/tree/main,Weights are available on Hugging Face.,open,https://github.com/LiuZH-19/SongGen/blob/master/README.md,"Codebase is well documented, with a README file that includes installation and inference instructions, and links to the training procedure.",open,https://arxiv.org/pdf/2502.13128,"The training procedure is described in the article (see Appendix A). Also, there are specific training guidelines in the GitHub repository.",open,https://arxiv.org/pdf/2502.13128,Evaluation procedure is described in the article (see Appendix B). The dataset used for evaluation is available on Hugging Face.,open,https://openreview.net/pdf?id=aTyQjpsaB4,Accepted at ICML 2025.,"May 30, 2025",open,https://github.com/LiuZH-19/SongGen/tree/master?tab=Apache-2.0-1-ov-file,Apache License 2.0,∅,,,∅,,,∅,,,∅,,,star,https://liuzh-19.github.io/SongGen/,A demo page with sound examples is available. The page also includes a link to the GitHub repository and research paper.,/projects\song-gen.yaml,91,1
https://github.com/magenta/magenta/tree/main/magenta/models/gansynth,2019,Apache 2.0 License,Algorithm for synthesizing audio with generative adversarial networks.,"Audio synthesis, MIDI-to-audio",GAN,Repository has been archived by the owner since January 2026.,Google Magenta,https://magenta.withgoogle.com/,,open,https://github.com/magenta/magenta/tree/main/magenta/models/gansynth,Source code is available.,partial,https://magenta.tensorflow.org/datasets/nsynth,"Dataset is available, but the reduced version that they use and the newly created test/train splits are not provided.",open,https://github.com/magenta/magenta/blob/main/magenta/models/gansynth/README.md,Two pretrained checkpoints are provided.,open,https://github.com/magenta/magenta/blob/main/magenta/models/gansynth/README.md,"Codebase is documented, including high-level instructions and configuration files.",open,https://arxiv.org/pdf/1902.08710,"Training procedure is fully documented, including hardware requirements and model configuration.",partial,https://arxiv.org/pdf/1902.08710,Evaluation metrics are described but exact implementations are not referenced.,open,https://openreview.net/forum?id=H1xQVn09FX,Accepted at ICLR 2019.,,open,https://github.com/magenta/magenta/blob/main/LICENSE,System is covered by Apache License.,∅,,Very few details are given of the pretrained checkpoints.,∅,,Not available.,star,https://pypi.org/project/magenta/,Available within the magenta pip package.,∅,,Not available.,star,https://storage.googleapis.com/magentadata/papers/gansynth/index.html,"Demo page is available, including sound examples of the model's capabilities.",/projects\gansynth.yaml,86,2
https://github.com/marcoppasini/musika,2022,MIT License.,"A music generation system that can be trained on hundreds of hours of music using a single consumer GPU, and that allows for much faster than real-time generation of music of arbitrary length on a consumer CPU.",Audio-to-audio,GAN,,Johannes Kepler University Linz,,,open,https://github.com/marcoppasini/musika,Codebase is available and complete.,partial,,"Training data is described in the research paper. Some of the data used is publicly available (LibriTTS corpus). However, there are some sections of the used data that are not accessible or detailed enough to fully reconstruct the dataset (South by SouthWest). Also, music coming from http://jamendo.com under “techno” genre is not detailed.",open,https://huggingface.co/musika/musika_techno/tree/main,Weights are publicly available.,open,https://github.com/marcoppasini/musika/blob/main/README.md,"Codebase is documented, including details on environment and configuration settings.",open,https://arxiv.org/pdf/2208.08706,Detailed in research paper and proper instructions are given in the model repository.,partial,https://arxiv.org/pdf/2208.08706,"FAD is used for evaluation. However, there are details missing on the evaluation procedure.",open,https://ismir2022program.ismir.net/poster_74.html,Accepted at ISMIR 2022.,,open,https://github.com/marcoppasini/musika/blob/main/LICENSE,MIT License.,∅,,Not available.,∅,,Not available.,∅,,"Not available. Source code is provided through GitHub, but not as an installable packaged or with version control.",star,https://colab.research.google.com/drive/1PowSw3doBURwLE-OTCiWkO8HVbS5paRb,"An interface is provided through Gradio. In addition, there is a colab notebook that intends to ease accessibility for non technical users.",star,https://marcoppasini.github.io/musika,Complementary page is available with sound examples and demonstration of the model's capabilities.,/projects\musika.yaml,86,2
https://github.com/RetroCirce/MusicLDM,2023,Attribution-NonCommercial-ShareAlike 4.0 International,A text-to-music generation model that is only trained on 10000 songs.,Text-to-music,"Latent diffusion, VAE, GAN",,"University of California San Diego, Mila-Quebec Artificial Intelligence Institute,University of Surrey, LAION",,,partial,https://github.com/RetroCirce/MusicLDM,System source code is available at GitHub repository & Hugging Face Diffusers.,partial,,"MusicLDM is trained on the Audiostock dataset, which contains 9000 music tracks for training and 1000 tracks for testing. Dataset is not directly provided, no information about the original source accessibility or requirements is provided.",open,https://drive.google.com/drive/folders/15VDVcIgf99YRM5oGXhRxa_Rowl54uWho,Model checkpoints are available.,open,https://github.com/RetroCirce/MusicLDM/blob/main/README.md,Description on how to use the code is provided in the GitHub repo and through Hugging Face Diffusers.,open,https://arxiv.org/pdf/2308.01546,"Training procedure is documented in the research article preprint and in the appendix additional page for the peer-reviewed version (https://musicldm.github.io/appendix/). Authors include specifications on hyperparameters, GPU requirements and model configurations.",open,https://arxiv.org/pdf/2308.01546,Evaluation procedure is described in the research paper. Evaluation code is available in the model’s codebase and in its complementary repo (https://github.com/haoheliu/audioldm_eval).,open,https://ieeexplore.ieee.org/document/10447265,This article has been accepted at ICASSP 2024. The access of such paper is limited to IEEE Xplore access (https://ieeexplore.ieee.org/document/10447265). A preprint is available in arXiv (https://arxiv.org/pdf/2308.01546).,,partial,https://github.com/RetroCirce/MusicLDM/blob/main/LICENSE,Attribution-NonCommercial-ShareAlike 4.0 International,star,https://huggingface.co/ucsd-reach/musicldm,Available at HuggingFace. Information about model’s evaluation and limitations is missing and model’s architecture is just mentioned.,star,https://github.com/LAION-AI/audio-dataset/blob/main/data_card/Audiostock.md,"There is a data card. However, content is limited to data sources origin and details on how to reproduce the data collection. Details on curation and other considerations, such as consent, limitations and selection strategies are missing.",∅,,,∅,,API is shut down temporarily. Should be released again soon.,star,https://musicldm.github.io/,Demo page is available with sound examples and demonstration of the model's capabilities.,/projects\musicldm.yaml,77,3
https://heartmula.github.io/,2026,Apache License 2.0,"An LLM-based song generation model capable of synthesizing high-fidelity music under rich, user-controllable conditions. HeartMuLa supports multi-conditional music creation with inputs including textual style descriptions, lyrics, and reference audio.","Text-to-song, Lyrics-to-song, Style transfer",Autoregressive transformer,"Besides the HeartMuLa model, the repository also includes HeartCodec (a 12.5 Hz music codec), HeartTranscriptor (a whisper-based model for lyric transcription), and HeartCLAP (an audio-text aligment model for music descriptions and cross-modal retrieval). The current evaluation focuses only on the HeartMuLa model.",HeartMuLa Teams,,,partial,https://github.com/HeartMuLa/heartlib,"GitHub repository includes model architecture, and inference. But lacks specific code for traning or fine-tuning the model, and data processing.",partial,https://arxiv.org/pdf/2601.10547,"Technical report indicates that HeartMuLa was trainied on ~100,000 hours of high-quality music and describes automated filtering pipelines. However, there is no information about the specific music used.",open,https://huggingface.co/HeartMuLa/HeartMuLa-oss-3B-happy-new-year/tree/main,Model weights are available on Hugging Face.,open,https://github.com/HeartMuLa/heartlib?tab=readme-ov-file,"All components of the codebase are properly documented in the GitHub repository, including installation requirements, examples of scripts usage and configuration files.",open,https://arxiv.org/pdf/2601.10547,"Training procedure is well documented in the technical report, including hardware requirements and model configurations (see Section 2.2).",open,https://arxiv.org/pdf/2601.10547,"The evaluation procedure is well documented in the technical report, including used metrics and test benchmacks.",partial,https://arxiv.org/pdf/2601.10547,"A technical report is available on arXiv, but the paper is not yet peer-reviewed. The report provides a detailed description of the model architecture, training procedure, evaluation and inference.","July 7, 2026",open,https://github.com/HeartMuLa/heartlib?tab=Apache-2.0-1-ov-file,Apache License 2.0.,star,https://huggingface.co/HeartMuLa/HeartMuLa-oss-3B-happy-new-year,"Model card available in Hugging Face, although it could benefit from more detailed information about the model.",∅,,,∅,,,∅,https://huggingface.co/spaces/HeartMuLa/heartmula,"According to the GitHub repository, there is a model demo available in Hugging Face Spaces and in Model Scope. However, neither of the two are currently operational.",star,https://heartmula.github.io/,"There is a complementary website for the HeartMuLa model, which includes multiple audible examples.",/projects\heartmula.yaml,77,2
